AINEs,Antiinflamatorios para artritis,True
Cirugía,Procedimiento para displasia de cadera,False
Dieta Hipoalergénica,Alimentación especial para alergias alimentarias,True
Insulina,Controla la diabetes,True
Terapia de Comportamiento,Reduce la ansiedad,False
Antibióticos,Trata infecciones del oído,True
Hormonas Tiroideas,Normaliza la función tiroidea,True
Cirugía Correctiva,Mejora la respiración para síndrome de braquiocefálico,True
Plan de Pérdida de Peso,Dieta y ejercicio para obesidad canina,True
Terapia de Soporte,Soporte para parvovirus,True
Medicamentos Cardiovasculares,Mejora función cardíaca,True
Corticosteroides,Reduce inflamación de la piel para dermatitis atópica,False
Antibióticos,Trata infecciones urinarias,True
Terapia de Comportamiento,Corrige conductas no deseadas,False
Cirugía de Cataratas, remueve cataratas y mejora visión,False
aa,aa,True
aaaa,aaa,True
